DateTime,Entries,UniqueIPs
1594873801,1318,19399448
1595024277,1316,19399192
1595219402,1303,19399178
1595305802,1310,19399439
1595392202,1235,19399364
1595478601,1247,19399378
1595565001,1271,19399400
1595824201,1292,19382784
1595910601,1284,19382777
1595997001,1285,19382779
1596083402,1289,19382783
1596169802,1299,19382537
1596429001,1335,19308846
1596515402,1337,19308848
1596601801,1382,19308895
1596688201,1388,19308901
1596774601,1385,19308898
1597033801,1374,19307608
1597120202,1365,19307599
1597206601,1424,19307405
1597293002,1407,19307389
1597638601,1585,19307566
1597725002,1640,19307621
1597811401,1670,19307906
1597897802,1689,19307670
1597984202,1677,19307658
1598243401,1681,19321984
1598329802,1697,19322002
1598416201,1696,19322001
1598502601,1675,19321980
1598589002,1701,19322006
1598848202,1780,19335361
1598934602,1785,19335369
1599021001,1802,19335386
1599107401,1789,19335372
1599193802,1802,19335384
1599453001,1897,19387596
1599539401,1907,19387606
1599625801,1932,19387631
1599712202,1944,19387643
1599798601,1946,19387644
1600057802,1846,19460239
1600144202,1792,19460185
1600230601,1804,19460197
1600317001,1777,19460170
1600403402,1799,19459937
1600662602,1847,19432075
1600749002,1865,19432094
1600835401,1922,19432151
1600921801,1967,19432196
1601008202,1951,19432179
1601267402,1980,19477773
1601353801,1987,19477780
1601440202,1998,19477791
1601526601,1975,19477767
1601613002,1967,19477759
1601872201,2088,19458428
1601958602,2101,19458186
1602045002,2102,19458187
1602131401,2106,19458446
1602217802,2089,19458429
1602477001,2052,19373163
1602563402,2079,19373446
1602649801,2020,19373385
1602736202,2113,19373480
1602822601,2120,19373485
1603081802,2142,19360970
1603168201,2125,19360952
1603254601,2141,19360970
1603341002,2163,19360991
1603427401,2158,19360988
1603686602,2263,19429183
1603773001,2274,19429194
1603859402,2280,19429201
1603945801,2302,19428968
1604032201,2317,19428983
1604295002,2329,19458440
1604381401,2333,19458446
1604467801,2322,19458432
1604554201,2258,19458369
1604640602,2230,19458340
1604899801,2236,19522859
1604986204,2037,19522659
1605072601,2235,19522856
1605159001,2229,19522851
1605504601,2222,19523353
1605591001,2219,19523350
1605677402,2225,19523356
1605763802,2293,19523423
1605850202,2331,19523461
1606109402,2336,19539846
1606195801,2341,19539850
1606282201,2333,19539842
1606368601,2264,19539773
1606455001,2286,19539795
1606714201,2437,19713737
1606800602,2429,19713730
1606887002,2443,19713746
1606973401,2449,19713753
1607059801,2497,19713799
1607319001,2567,19763269
1607474398,2563,19763265
1607558697,2564,19763266
1607642701,2561,19763263
1607664602,2555,19763256
1607973838,2503,19691521
1608075959,2505,19691522
1608161877,2493,19691509
1608248642,2469,19691484
1608333359,2465,19691480
1608592678,2372,19687549
1608679079,2395,19687572
1608765063,2401,19687578
1609197895,2419,19686061
1609284178,2451,19686093
1609371957,2429,19686070
1609455298,2428,19686069
1609738201,2365,19687540
1609824602,2357,19687532
1609977061,2360,19687535
1609997402,2336,19687511
1610147939,2355,19687530
1610406899,2379,19666056
1610429402,2381,19666058
1610582579,2369,19666047
1610602202,2378,19666056
1610754838,2389,19666067
1611013077,2392,19665045
1611034201,2388,19665041
1611189360,2287,19664941
1611207001,2296,19664950
1611293401,2292,19664946
1611552601,2303,19927100
1611639002,2262,19927060
1611725401,2187,19926986
1611811801,2185,19926984
1611898201,2095,19926893
1612157402,1248,19908639
1612243802,1254,19908646
1612330201,1274,19908667
1612416602,1284,19908677
1612503004,1285,19908678
1612762201,1287,19908424
1612848602,1289,19908426
1612935001,1288,19908426
1613021401,1305,19908445
1613107801,1305,19908445
1613367002,1305,19919711
1613453401,1306,19919711
1613539801,1309,19922784
1613626201,1312,19922787
1613712602,1309,19924063
1613971801,1296,19915866
1614058201,1304,19916895
1614231002,1317,19833966
1614317402,1287,19800914
1614576602,1164,19800792
1614663001,1165,19800792
1614749402,1164,19800793
1614835802,1165,19800792
1615181401,950,19799552
1615267802,1164,19799768
1615354202,1163,19799767
1615440601,1164,19798746
1615527002,1158,19798740
1615782601,1152,19798731
1615869002,1154,19798732
1615955401,1154,19798732
1616041802,1153,19798987
1616128201,1152,19798986
1616214602,1149,19798984
1616387402,1146,19796935
1616473801,1149,19796937
1616560202,1151,19796684
1616646601,1160,19796947
1617251402,1169,19779296
1617942602,1167,19775199
1618201801,1160,19773402
1618288201,1161,19773402
1618374601,1172,19773413
1618461002,1175,19784674
1618547402,1177,19784676
1618806601,1114,19784614
1618893002,1114,19784616
1618979402,1118,19784617
1619065802,1116,19783593
1619152202,1120,19783851
1619411402,1165,19803562
1619497801,1161,19705512
1619584201,1163,19773096
1619670601,1166,19773098
1619757002,1159,19707558
1620016202,1158,19842972
1620102602,1157,19842971
1620189002,1156,19842971
1620275402,1156,19838876
1620621002,1206,19891405
1620707401,1209,19891408
1620793801,1207,19834064
1620880201,1206,19834832
1620966602,1205,19834831
1621225802,1207,19835856
1621312201,1212,19834838
1621398601,1211,19833814
1621485002,1210,19833814
1621571402,1206,19833809
1621830601,1220,19833823
1621917001,1235,19833839
1622003402,1235,19835886
1622089802,1234,19835885
1622176202,1234,19835885
1622521802,1251,19834878
1622608201,1252,19834879
1622694601,1254,19834882
1622781001,1252,19834880
1623040201,1257,19835900
1623126601,1253,19835896
1623213001,1268,19981304
1623299402,1269,19981305
1623385802,1268,19981303
1623645001,1268,19981303
1623731401,1267,19981302
1623817802,1266,19979255
1623904202,1259,19978228
1623990602,1255,19976176
1624249801,1253,19976174
1624336202,1258,19976180
1624422602,1262,19976184
1624509002,1258,19976180
1624595402,1258,19976180
1624854602,1263,19978232
1624941002,1275,19978244
1625027402,1281,19980552
1625113801,1280,19981827
1625200201,1284,19981831
1625459402,1297,19981842
1625545801,1298,19981844
1625632202,1303,19965466
1625718601,1295,19875097
1625805002,1292,19875094
1626064202,1293,19875094
1626150601,1292,19873047
1626237002,1284,19873039
1626323402,1286,19873041
1626409802,1285,19873039
1626669002,1285,19872784
1626755402,1283,19868687
1626841802,1272,19868676
1626928201,1271,19866623
1627014601,1276,19866628
1627101002,1273,19865602
1627273802,1264,19340286
1627360202,1262,19340284
1627446602,1263,19340285
1627533002,1263,19339262
1627619402,1261,19335935
1627878601,1272,19335946
1627965001,1281,19333909
1628051401,1283,19333910
1628137802,1285,19333912
1628483401,1282,19331862
1628569802,1301,19356959
1628656201,1303,19356961
1628742602,1308,19356966
1628829002,1305,19356963
1629088201,1301,19356959
1629174602,1307,19423266
1629261001,1311,20078625
1629347402,1311,20078625
1629433801,1314,20078628
1629693002,1332,20148262
1629779402,1334,20148264
1629865801,1335,20147242
1629952202,1334,20146219
1630038601,1332,20146217
1630297802,1331,20129579
1630384201,1330,20129578
1630470602,1333,20129581
1630557001,1335,20129583
1630643401,1335,20129582
1630902601,1329,20127530
1630989002,1327,20127528
1631075402,1329,20127530
1631161801,1336,20127537
1631248203,1336,20127537
1631507401,1334,20127535
1631593802,1333,20123439
1631680201,1333,20123439
1631766602,1348,20123455
1631853001,1346,20123453
1632112201,1350,20139325
1632198602,1355,20139330
1632285002,1355,20139330
1632371402,1353,20139328
1632457802,1353,20139328
1632717001,1351,20139326
1632803402,1353,20139327
1632889802,1352,20139326
1632976201,1390,20135270
1633062602,1391,20135271
1633321802,1406,20153716
1633408201,1433,20153743
1633494602,1455,20610468
1633581002,1464,20610477
1633667402,1477,20611513
1633926602,1404,20611440
1634013001,1405,20611186
1634099402,1414,20610173
1634185801,1433,20618893
1634272202,1428,20605326
1634531401,1439,20604568
1634617801,1453,20539047
1634704201,1455,20534954
1634790602,1466,20534964
1635136202,1476,20534974
1635222602,1495,20518610
1635309002,1507,20518111
1635395402,1512,20518116
1635481802,1512,20518116
1635741002,1504,20518108
1635827402,1517,20518121
1635913801,1514,20518119
1636000202,1515,20518119
1636086602,1514,20522214
1636349402,1514,20522214
1636435802,1511,20456675
1636522202,1510,20456675
1636608602,1514,20456678
1636695001,1515,20456679
1636954201,1505,20456412
1637040601,1516,20459236
1637127001,1529,20459249
1637213401,1529,20459248
1637299802,1521,20459240
1637559002,1591,20458542
1637645402,1597,20458549
1637731802,1604,20458555
1637818201,1691,20458644
1637904602,1683,20458636
1638163802,1670,20380805
1638250202,1676,20380811
1638336602,1681,20371601
1638423002,1685,20371605
1638509402,1706,20371627
1638768601,1700,20371622
1638855002,1705,20371626
1638941402,1706,20371627
1639027801,1710,20371631
1639114202,1755,20371677
1639200602,1764,20371941
1639287002,1765,20370920
1639373402,1765,20370920
1639459801,1760,20370659
1639546202,1766,20370666
1639632602,1752,20354267
1639719002,1750,20354265
1639978202,1745,20282582
1640064601,1759,20280549
1640151001,1767,20280556
1640237401,1754,20153583
1640669401,1674,20152224
1640755802,1666,20152215
1640842202,1666,20152215
1641274201,1617,20151143
1641360602,1606,20151132
1641447001,1588,20151114
1641533402,1582,20151108
1641792601,1534,20150036
1641879002,1530,20150032
1641965402,1533,20150035
1642051801,1531,20150033
1642138202,1527,20150284
1642483802,1486,20150753
1642570201,1483,20150750
1642656602,1479,20150236
1642743002,1467,20150224
